text,label
Superb performance! Maza hi aa gaya yarr.,positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡",negative
"Bas chal hi raha hai kaam, normal sa. hmm",neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌 superb!,positive
Dimag kharab ho gaya inka customer care se baat karke. mood off,negative
Main kal subah unse baat karunga is baare mein. thik h,neutral
"Maza aa gaya! Best experience ever, highly recommended. 😂",positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 worst!",negative
"Simple baat hai, samajh jao toh acha hai. hmm",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 😂",positive
"Faltu app hai, baar baar crash ho raha hai. 👎 worst!",negative
"Ha thik hai, jaisa chal raha hai chalne do. ok",neutral
Bhai aaj ka din bohot badhiya tha! Maje aa gaye. 😂,positive
"Faltu app hai, baar baar crash ho raha hai. 👎 👎",negative
"Thik thak hai, na bohot acha na bohot bura.",neutral
"Anand aa gaya bhai, fully satisfied with the service.",positive
"Bohot hi kharab quality hai, disappointed completely. worst!",negative
Kuch samajh nahi aa raha kya karun. hmm,neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 🔥",positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 😡",negative
"Normal day tha, kuch khaas nahi hua. hmm",neutral
Gazab chiz hai! Ekdum paisa vasool bhai. superb!,positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 mood off",negative
"Bas chal hi raha hai kaam, normal sa.",neutral
Gazab chiz hai! Ekdum paisa vasool bhai. wow!,positive
"Faltu app hai, baar baar crash ho raha hai. 👎 worst!",negative
"Thik thak hai, na bohot acha na bohot bura. thik h",neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! superb!",positive
"Faltu app hai, baar baar crash ho raha hai. 👎 worst!",negative
"Simple baat hai, samajh jao toh acha hai.",neutral
"Anand aa gaya bhai, fully satisfied with the service. wow!",positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 worst!",negative
"Ha thik hai, jaisa chal raha hai chalne do. hmm",neutral
Gazab chiz hai! Ekdum paisa vasool bhai.,positive
"Mood kharab kar diya poora, itna ghatiya experience. worst!",negative
"Thik thak hai, na bohot acha na bohot bura. ok",neutral
Bhai aaj ka din bohot badhiya tha! Maje aa gaye. 😂 🔥,positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 mood off",negative
Main kal subah unse baat karunga is baare mein.,neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌 🔥,positive
"Bilkul bakwas service, delay hi delay hota hai hamesha. worst!",negative
Kya yeh sahi tarika hai? Mujhe nahi pata.,neutral
Bhai aaj ka din bohot badhiya tha! Maje aa gaye. 😂 superb!,positive
Dimag kharab ho gaya inka customer care se baat karke. 😡,negative
Kuch samajh nahi aa raha kya karun. hmm,neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 🔥",positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡",negative
"Thik thak hai, na bohot acha na bohot bura. hmm",neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai!",positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡 😡",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. hmm,neutral
Superb performance! Maza hi aa gaya yarr.,positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡 😡",negative
Kya yeh sahi tarika hai? Mujhe nahi pata.,neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍 🔥,positive
"Bilkul bakwas service, delay hi delay hota hai hamesha.",negative
"Normal chal raha hai sab kuch, bas chal raha hai. ok",neutral
